순위,영화명,매출액,누적매출액,관객수,누적관객수,스크린수,개별배급사,등급,개별장르,개별감독,개별배우,월,년,개별배급사_index,등급_index,개별장르_index,개별감독_index,개별배우_index,일_index
5,말모이,23682638520,23987145520,2812444,2866020,1203,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,엄유나,우현,1,2019,4,2,1,4,28,2
5,말모이,23682638520,23987145520,2812444,2866020,1203,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,엄유나,김태훈,1,2019,4,2,1,4,29,2
5,말모이,23682638520,23987145520,2812444,2866020,1203,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,엄유나,김선영,1,2019,4,2,1,4,30,2
5,말모이,23682638520,23987145520,2812444,2866020,1203,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,엄유나,민진웅,1,2019,4,2,1,4,31,2
5,말모이,23682638520,23987145520,2812444,2866020,1203,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,엄유나,이성욱,1,2019,4,2,1,4,32,2
6,증인,20477262331,20477262331,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,정우성,2,2019,4,2,1,5,33,2
6,증인,20477262331,20477262331,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,김향기,2,2019,4,2,1,5,34,2
6,증인,20477262331,20477262331,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,이규형,2,2019,4,2,1,5,35,2
6,증인,20477262331,20477262331,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,염혜란,2,2019,4,2,1,5,36,2
6,증인,20477262331,20477262331,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,장영남,2,2019,4,2,1,5,37,2
6,증인,20477262331,20477262331,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,정원중,2,2019,4,2,1,5,38,2
6,증인,20477262331,20477262331,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,김종수,2,2019,4,2,1,5,39,2
6,증인,20477262331,20477262331,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,박근형,2,2019,4,2,1,5,40,2
6,증인,20477262331,20477262331,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,송윤아,2,2019,4,2,1,5,41,2
6,증인,20477262331,20477262331,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,이준혁,2,2019,4,2,1,5,42,2
6,증인,20477262331,20477262331,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,이레,2,2019,4,2,1,5,43,2
6,증인,20477262331,20477262331,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,김승욱,2,2019,4,2,1,5,44,2
6,증인,20477262331,20477262331,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,오재세,2,2019,4,2,1,5,45,2
6,증인,20477262331,20477262331,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,이채은,2,2019,4,2,1,5,46,2
7,사바하,20007508194,20007508194,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,미스터리,장재현,이정재,2,2019,0,0,4,6,47,3
7,사바하,20007508194,20007508194,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,스릴러,장재현,이정재,2,2019,0,0,5,6,47,3
7,사바하,20007508194,20007508194,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,미스터리,장재현,박정민,2,2019,0,0,4,6,48,3
7,사바하,20007508194,20007508194,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,스릴러,장재현,박정민,2,2019,0,0,5,6,48,3
