순위,영화명,개봉일,매출액 ,매출액 점유율,누적매출액 ,관객수 ,누적관객수 ,스크린수 ,상영횟수 ,대표국적 ,국적 ,제작사 ,배급사 ,등급 ,장르 ,감독 ,배우 
252 ,2017 한국영화아카데미 33기 졸업영화제 - D,,1656000 ,0.0%,1656000 ,414 ,414 ,1 ,3 ,한국,한국,,,,기타,"전희욱,송주성,박지은",
256 ,격퇴,1956년 4월 4일 수요일,674000 ,0.0%,674000 ,401 ,401 ,1 ,6 ,한국,한국,삼일필림,,12세이상관람가,전쟁,이강천,"박노식,황남,허장강,최강"
257 ,MSFF2018 4만번의 구타 2,,2367000 ,0.0%,2367000 ,400 ,400 ,1 ,3 ,한국,한국,,,,"액션,스릴러",,
257 ,순수의 시대,2015년 3월 5일 목요일,2000000 ,0.0%,3743046828 ,400 ,470308 ,1 ,4 ,한국,한국,"(주)화인웍스,(주)키메이커",씨제이이앤엠(주),청소년관람불가,"사극,드라마",안상훈,"신하균,장혁,강한나,강하늘,박혜준,정현국,권승구,서지오,권지훈,천준호,최아람,양영조,김경애,오하늬,윤민규,이광기,김민수,이상민,이수민,손병호,박갑진,최무성,기주봉,이재용,문영동,조희봉,황금희,성유빈"
259 ,MSFF2017 사랑에 관한 짧은 필름 2,,2391000 ,0.0%,2391000 ,399 ,399 ,1 ,3 ,한국,한국,,,,"멜로/로맨스,드라마",,
260 ,와룡선생 상경기,,790000 ,0.0%,7396000 ,395 ,2428 ,1 ,21 ,한국,한국,신필름,,,코미디,김용덕,"김희갑,허장강,윤인자,엄앵란"
261 ,MSFF2018 비정성시 1,,2348400 ,0.0%,2348400 ,394 ,394 ,1 ,3 ,한국,한국,,,,드라마,,
262 ,MSFF2018 비정성시 3,,2339200 ,0.0%,2339200 ,392 ,392 ,1 ,3 ,한국,한국,,,,드라마,,
263 ,MSFF2018 사랑에 관한 짧은 필름 2,,2311300 ,0.0%,2311300 ,387 ,387 ,1 ,3 ,한국,한국,,,,"멜로/로맨스,드라마",,
264 ,언더독,2019년 1월 16일 수요일,3130000 ,0.0%,3130000 ,382 ,382 ,1 ,3 ,한국,한국,(주)오돌또기,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"오성윤,이춘백","도경수,박소담,박철민,강석,이준혁,연지원,전숙경,박중금"
265 ,명량,2014년 7월 30일 수요일,2705000 ,0.0%,135756027310 ,380 ,17615437 ,1 ,12 ,한국,한국,(주)빅스톤픽쳐스,씨제이이앤엠(주),15세이상관람가,"사극,액션",김한민,"최민식,류승룡,조진웅,김명곤,진구,이정현,권율,노민우,김태훈,이승준,오타니 료헤이,박보검,박원우,서성광,오명훈,유명환,윤희경,이윤기,정수남,정순태,정의석,김원해,이해영,장준녕,김길동,김강일,강태영,하형원,한상대,김동원,김민석,김민식,김재철,김준형,김현중,박선용,박노식,최덕문,조복래,문영동,이주실"
