월,누적관객수
1,2228797.073653566
2,2116556.027231892
3,1104804.0957771007
4,1137465.1633378933
5,2666527.5844778027
6,1922826.9384735203
7,6043037.087773723
8,3100606.693415638
9,3027004.1644012947
10,1616857.4138097537
11,1224522.7723243244
12,3092164.218647293
