개별장르,누적관객수
SF,5893236.440239044
가족,3981906.541446208
공포(호러),941499.2670043416
기타,4302518.0
다큐멘터리,855718.1111111111
드라마,2867622.285779044
멜로/로맨스,1340561.8434551174
뮤지컬,170103.72839506174
미스터리,1447079.00758214
범죄,2633205.8567789416
사극,4249984.444688323
서부극(웨스턴),6685762.2
스릴러,1988239.572409488
애니메이션,628030.8210116732
액션,3523380.0513833994
어드벤처,4540438.217851739
전쟁,3030537.9474885846
코미디,1707348.8635493575
판타지,4042835.533333333
