년,누적관객수
2003,1032194.4455445545
2004,995639.3016853932
2005,2222302.794207986
2006,2274880.9577008705
2007,1261709.007797995
2008,1926534.423955689
2009,3049352.655492864
2010,2334533.9621269125
2011,2310080.919354839
2012,3821952.4886634843
2013,4344076.748367136
2014,3530927.1254412164
2015,2613797.133636364
2016,3476961.423197492
2017,2723023.8447847683
2018,2315859.5375694614
