월,누적관객수
1.0,2195987.473390917
2.0,2105899.2302377005
3.0,1102263.64144454
4.0,1127759.9605792437
5.0,2635156.2917690417
6.0,1913314.9050925926
7.0,5979037.010824463
8.0,3100606.693415638
9.0,3027004.1644012947
10.0,1616857.4138097537
11.0,1224522.7723243244
12.0,3092164.218647293
