개별감독,누적관객수
최양일,4593307
박중훈,4553978
이규형,4498252
홍기선,4375900
구자홍,4356560
김도혁,4238280
권오광,4222806
박명랑,4061124
조남호,4059260
김준성,3882460
윤재연,3760778
폭스 존,3649888
베이커 하워드 E.,3649888
유위강,3645680
유상곤,3584250
여인광,3535272
이광재,3486660
박중구,3412864
최승호,3381300
조영준,3371341
강건향,3162752
이주영,3161484
곽지균,3077536
김성중,2980666
신재영,2940586
이달,2837300
고동우,2837300
박준수,2835090
황승재,2808144
신연식,2800725
오지명,2795544
정연원,2709756
이상용,2704080
유영선,2694720
이근우,2690226
계윤식,2644148
박광우,2616775
안진우,2611104
김창래,2565040
진광교,2535540
손석우,2524803
허준형,2466060
신재호,2433144
김진성,2363900
윤준상,2248134
이영준,2237385
박수영,2188614
채두병,2140256
이두환,2016112
이정향,1979820
조운,1965248
이건동,1928907
최종현,1917142
주경중,1897500
박재식,1790760
김경형,1730496
넬슨 신,1726596
강유선,1630448
양종현,1623360
이동하,1606272
박은경,1606272
송동윤,1520970
김지열,1453464
오덕환,1433887
고석진,1357888
이형선,1315732
이성태,1207300
김익로,1152096
류훈,1149764
권지연,1149764
이형민,1140720
구성주,1132460
미이케 다카시,1082262
프루트 챈,1082262
김태은,986390
김정민,947226
권남기,860270
조창호,828160
백승빈,782432
윤영기,729432
이장수,654168
박태동,648423
마우리시오 드 라 오르타,648423
정종훈,569580
고문안,568776
권혁만,568776
변진호,558910
김은숙,500904
배현지,409872
김유정,409872
박정오,227404
장재혁,189837
프라챠 핀카엡,153072
