개별감독,누적매출액,누적관객수,스크린수
하정우,9323327169,1226259,622
김호준,7613403500,1220795,302
김종진,7819284000,1211528,256
이수연,9905444822,1204608,916
김성욱,7790552800,1199180,555
이종언,9882574840,1197151,878
윤재구,9095734747,1189299,409
최석원,7325603000,1174765,190
안병기,7289211800,1149018,301
조선호,9072737842,1129609,781
김용완,9471138230,1128774,874
이해준,7644087546,1111103,2
임상윤,8321175000,1110523,549
김정권,6893990000,1061099,485
조진모,7953428000,1059350,411
박홍수,7010197126,1048280,660
윤준형,8105625652,1047313,682
송일곤,7592288500,1027782,1
오상훈,6456304500,1027729,161
윤재근,7624895500,1025243,445
천세환,6383653500,1014372,155
우선호,7360631000,986923,435
김용한,6808882099,975462,1
박신우,7121437000,949896,387
민준기,5852391000,933147,186
한지승,6195942500,929410,346
박성균,5575404600,925661,355
임태형,5614875500,924019,158
이명세,5852902600,922950,2
유위강,5754065300,911420,299
신동엽,6359576505,901225,1320
심승보,5807823500,883965,313
변승욱,6032219700,873176,499
임찬익,6413325500,870887,407
손용호,6986456737,855980,646
김태용,6343380900,849635,1
오달균,4760024800,835796,187
손희창,5053205500,828112,174
김광태,6385937880,828025,634
윤종석,5503176500,827647,340
김동욱,5724914300,824937,442
조철현,6842183243,819930,1211
정초신,5153214500,819218,188
부지영,5929808133,814676,1
이우철,5897726015,804240,820
김곡,5587204000,790959,1
이경미,5634456739,790025,2
김영준,5046405000,785084,263
박철희,4886772800,782907,192
이현승,5743050500,772338,494
김대웅,6481379657,771141,957
조민호,5064244000,752008,487
정연식,5343797000,731212,501
이지원,6047393066,723010,2
전재홍,5406048000,715836,291
원태연,4724214000,715800,353
김성홍,4842086000,712588,425
박상준,5482586771,708072,626
김상우,3990360200,680241,4
이영은,4266661500,679352,164
임대웅,4494963600,679190,610
김병갑,5001247250,678091,762
김형협,5054757395,647305,586
이종용,4158738000,644717,318
정승구,4588553500,640672,661
최익환,4117049000,640536,270
김동빈,4262806248,637499,433
성시흡,4547866558,635740,458
모홍진,5234303336,635235,551
박철관,4441859000,611685,440
천성일,4751661400,609063,509
이하,3926917300,606398,203
공정식,3748401100,601058,285
임경수,3645962000,593867,169
남대중,4744476903,592205,1149
박용집,3752172000,581387,245
손태웅,3627352500,574302,232
봉만대,3428041500,569799,132
박헌수,3591639500,569074,5
이덕희,4139863176,563968,851
김병곤,3810103000,543313,341
장현수,3529353500,542955,88
오인천,3969815454,536707,674
하기호,4010723929,532166,687
이창동,4717858098,528596,740
김유성,3373493770,525572,836
이윤기,4099192115,519604,1103
지길웅,3312292500,515148,305
엄태화,3948158400,511369,1
임영성,3286151000,509235,267
배형준,3289695000,508499,325
장윤현,3457688500,508365,461
김성호,3404870500,497218,338
피터 레페니오티스,3449549800,495770,62
이현종,3396292000,494126,517
신근호,3562190000,483387,338
김제영,3653766200,481480,697
유성엽,3321091000,472009,1
정정화,3122965500,471310,109
이사랑,3358122530,470195,1
김달중,3443753000,467697,412
강지은,3089796620,467222,700
백동훈,3243969500,462714,347
임진순,3818515112,461693,731
이성강,2496355500,460925,117
김정환,3153466950,453331,583
조용선,2991824739,451669,584
조원희,3720939600,450378,1
류승진,2865110500,441337,239
홍원찬,3460460230,441208,425
손현희,2877614000,438009,260
양경모,3319946433,435142,613
이경호,2747091100,434646,113
최종태,2560456300,431231,220
이윤정,3409535000,427197,559
오승욱,3262380431,414663,482
캘런 브런커,3069388100,411787,526
이도윤,3223060031,407323,1
김봉한,3115297623,407177,800
정우철,3020062500,402876,290
권성국,2357363200,401953,200
이영준,2964782100,396788,707
여인광,2246093000,392808,189
문제용,2856859132,387409,452
김성제,2892681205,383582,398
박규태,2333597000,378161,260
문승욱,2376146100,371700,173
조근식,2338351100,367688,670
정길영,2463759000,364913,232
이항배,2195709100,358299,136
정식,2829106886,353517,539
김지환,2246567500,352518,1
이주영,2685519021,351276,576
김인식,2265968300,350761,169
이용승,2677516639,347823,629
주지홍,2673489440,340936,542
김진성,2070372500,337781,247
정익환,2247017000,334323,385
김덕수,2341062200,322371,823
박범수,2407152580,317239,405
방수인,2391873700,316141,2
박준수,2671391900,315010,243
김윤석,2493769950,293258,673
여균동,1897970000,288452,1
홍승완,2304304090,288203,784
이두환,2258422445,288016,498
최윤석,2109592900,285084,1
정용주,2106823000,283449,269
김도혁,1797632500,282552,99
손석우,2139119500,280656,1
박광수,1729412500,272101,250
윤재연,1927358500,268627,251
구자홍,1842632000,265597,27
홍성호,2105731160,264856,717
이민재,2119306275,263322,625
이성한,1831488000,259701,292
이안규,1930905564,242737,635
이은희,1739536633,240661,2
유상곤,1534151500,238950,69
임아론,1273282400,230449,359
김지영,1424995500,229240,56
안판석,1431751800,227304,8
박명랑,1658653000,225618,302
곽지균,1296756200,219824,155
홍기선,1728645300,218795,512
황수아,1411607500,217478,225
최상훈,1900914300,217444,314
최성철,1247345300,215817,213
김아론,1725990153,214539,398
전형준,1590807200,210777,346
윤태용,1258000500,207189,193
최양일,1208282000,199709,209
임경택,1758379250,198513,534
강건향,1185999000,197672,168
하명중,1077362300,194262,217
정연원,1215167500,193554,60
윤준상,1427205750,187777,3
이수진,1581839728,183784,900
강경훈,1190809000,181186,177
조영준,1260533864,177439,480
박중훈,1194185500,175153,397
이광재,1243136000,174333,277
최승호,1257744750,172716,51
석민우,1246200228,169984,474
진광교,1123934000,169036,202
전만배,1246420500,168049,300
고정욱,1422363900,167184,224
류훈,1206962000,164252,268
안진우,1041967500,163209,22
구성주,978382500,161780,113
김철한,1221713500,160734,190
김창래,947570700,160315,276
박지원,1172970000,158943,203
오지명,999160000,155308,90
김현주,1148884700,153273,1
오기현,975730600,152791,147
강철우,1006594000,151105,86
이달,1090835800,141865,231
이형곤,877984800,141610,140
이한욱,1230898892,141222,545
신재영,1084557130,133663,286
이정향,715248000,132253,208
윤영기,788079000,121572,180
황승재,773088000,117006,228
김성중,696954300,114641,165
신연식,811844000,112029,297
김경형,706760000,108274,52
송창수,664593000,108180,43
김익로,739789500,104736,331
박대영,642352000,104296,168
신재호,822757100,102789,213
이규형,659079000,102233,65
김준성,759481000,102170,461
계윤식,718090000,101698,220
권오광,748936684,100543,399
이경섭,812637500,97986,1
백승빈,784148500,97804,317
고석진,750901000,96992,207
이근우,695770500,96080,1
백승화,710905075,95542,1
이형민,637892500,95060,105
주경중,1114062000,94875,196
권혁만,682697500,94825,1
조석현,748806970,89238,540
박재식,566202165,86265,379
권남기,532419300,86027,141
최종현,493278500,83354,181
박규택,621132000,81008,1
안태근,465434000,78025,3
박광우,479093000,74765,142
넬슨 신,425199000,72608,2
박태동,511579300,72047,287
이건동,459220000,71441,11
