순위,영화명,매출액,누적매출액,관객수,누적관객수,스크린수,개별배급사,등급,개별장르,개별감독,개별배우,월,년,개별배급사_index,등급_index,개별장르_index,개별감독_index,개별배우_index,일_index,KNN
3,돈,28869614062.0,28869614062.0,3389035,3389035,1431,(주)쇼박스,15세관람가,범죄,박누리,조우진,3,2019,1,0,2,2,17,3,3044859.999999999
3,돈,28869614062.0,28869614062.0,3389035,3389035,1431,(주)쇼박스,15세관람가,범죄,박누리,원진아,3,2019,1,0,2,2,18,3,3044859.999999999
3,돈,28869614062.0,28869614062.0,3389035,3389035,1431,(주)쇼박스,15세관람가,범죄,박누리,박명신,3,2019,1,0,2,2,19,3,3044859.999999999
3,돈,28869614062.0,28869614062.0,3389035,3389035,1431,(주)쇼박스,15세관람가,범죄,박누리,이화룡,3,2019,1,0,2,2,20,3,3044859.999999999
4,악인전,29130540150.0,29130540150.0,3364360,3364360,1307,(주)에이스메이커무비웍스,18세관람가,범죄,이원태,마동석,5,2019,2,1,2,3,21,3,3044859.999999999
4,악인전,29130540150.0,29130540150.0,3364360,3364360,1307,(주)에이스메이커무비웍스,18세관람가,액션,이원태,마동석,5,2019,2,1,3,3,21,3,3044859.999999999
4,악인전,29130540150.0,29130540150.0,3364360,3364360,1307,(주)키위미디어그룹,18세관람가,범죄,이원태,마동석,5,2019,3,1,2,3,21,3,3044859.999999999
4,악인전,29130540150.0,29130540150.0,3364360,3364360,1307,(주)키위미디어그룹,18세관람가,액션,이원태,마동석,5,2019,3,1,3,3,21,3,3044859.999999999
4,악인전,29130540150.0,29130540150.0,3364360,3364360,1307,(주)에이스메이커무비웍스,18세관람가,범죄,이원태,김무열,5,2019,2,1,2,3,22,3,3044859.999999999
4,악인전,29130540150.0,29130540150.0,3364360,3364360,1307,(주)에이스메이커무비웍스,18세관람가,액션,이원태,김무열,5,2019,2,1,3,3,22,3,3044859.999999999
4,악인전,29130540150.0,29130540150.0,3364360,3364360,1307,(주)키위미디어그룹,18세관람가,범죄,이원태,김무열,5,2019,3,1,2,3,22,3,3044859.999999999
4,악인전,29130540150.0,29130540150.0,3364360,3364360,1307,(주)키위미디어그룹,18세관람가,액션,이원태,김무열,5,2019,3,1,3,3,22,3,3044859.999999999
4,악인전,29130540150.0,29130540150.0,3364360,3364360,1307,(주)에이스메이커무비웍스,18세관람가,범죄,이원태,김성규,5,2019,2,1,2,3,23,3,3044859.999999999
4,악인전,29130540150.0,29130540150.0,3364360,3364360,1307,(주)에이스메이커무비웍스,18세관람가,액션,이원태,김성규,5,2019,2,1,3,3,23,3,3044859.999999999
4,악인전,29130540150.0,29130540150.0,3364360,3364360,1307,(주)키위미디어그룹,18세관람가,범죄,이원태,김성규,5,2019,3,1,2,3,23,3,3044859.999999999
4,악인전,29130540150.0,29130540150.0,3364360,3364360,1307,(주)키위미디어그룹,18세관람가,액션,이원태,김성규,5,2019,3,1,3,3,23,3,3044859.999999999
4,악인전,29130540150.0,29130540150.0,3364360,3364360,1307,(주)에이스메이커무비웍스,18세관람가,범죄,이원태,문동혁,5,2019,2,1,2,3,24,3,3044859.999999999
4,악인전,29130540150.0,29130540150.0,3364360,3364360,1307,(주)에이스메이커무비웍스,18세관람가,액션,이원태,문동혁,5,2019,2,1,3,3,24,3,3044859.999999999
4,악인전,29130540150.0,29130540150.0,3364360,3364360,1307,(주)키위미디어그룹,18세관람가,범죄,이원태,문동혁,5,2019,3,1,2,3,24,3,3044859.999999999
4,악인전,29130540150.0,29130540150.0,3364360,3364360,1307,(주)키위미디어그룹,18세관람가,액션,이원태,문동혁,5,2019,3,1,3,3,24,3,3044859.999999999
5,말모이,23682638520.0,23987145520.0,2812444,2866020,1203,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,엄유나,유해진,1,2019,4,2,1,4,25,2,1069865.0000000005
5,말모이,23682638520.0,23987145520.0,2812444,2866020,1203,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,엄유나,윤계상,1,2019,4,2,1,4,26,2,1069865.0000000005
5,말모이,23682638520.0,23987145520.0,2812444,2866020,1203,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,엄유나,김홍파,1,2019,4,2,1,4,27,2,1069865.0000000005
5,말모이,23682638520.0,23987145520.0,2812444,2866020,1203,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,엄유나,우현,1,2019,4,2,1,4,28,2,1069865.0000000005
5,말모이,23682638520.0,23987145520.0,2812444,2866020,1203,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,엄유나,김태훈,1,2019,4,2,1,4,29,2,1069865.0000000005
5,말모이,23682638520.0,23987145520.0,2812444,2866020,1203,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,엄유나,김선영,1,2019,4,2,1,4,30,2,1069865.0000000005
5,말모이,23682638520.0,23987145520.0,2812444,2866020,1203,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,엄유나,민진웅,1,2019,4,2,1,4,31,2,1069865.0000000005
5,말모이,23682638520.0,23987145520.0,2812444,2866020,1203,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,엄유나,이성욱,1,2019,4,2,1,4,32,2,1069865.0000000005
6,증인,20477262331.0,20477262331.0,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,정우성,2,2019,4,2,1,5,33,2,1069865.0000000005
6,증인,20477262331.0,20477262331.0,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,김향기,2,2019,4,2,1,5,34,2,1069865.0000000005
6,증인,20477262331.0,20477262331.0,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,이규형,2,2019,4,2,1,5,35,2,1069865.0000000005
6,증인,20477262331.0,20477262331.0,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,염혜란,2,2019,4,2,1,5,36,2,1069865.0000000005
6,증인,20477262331.0,20477262331.0,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,장영남,2,2019,4,2,1,5,37,2,1194229.9999999993
6,증인,20477262331.0,20477262331.0,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,정원중,2,2019,4,2,1,5,38,2,1069865.0000000005
6,증인,20477262331.0,20477262331.0,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,김종수,2,2019,4,2,1,5,39,2,1069865.0000000005
6,증인,20477262331.0,20477262331.0,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,박근형,2,2019,4,2,1,5,40,2,1069865.0000000005
6,증인,20477262331.0,20477262331.0,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,송윤아,2,2019,4,2,1,5,41,2,1069865.0000000005
6,증인,20477262331.0,20477262331.0,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,이준혁,2,2019,4,2,1,5,42,2,1069865.0000000005
6,증인,20477262331.0,20477262331.0,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,이레,2,2019,4,2,1,5,43,2,1069865.0000000005
6,증인,20477262331.0,20477262331.0,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,김승욱,2,2019,4,2,1,5,44,2,1069865.0000000005
6,증인,20477262331.0,20477262331.0,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,오재세,2,2019,4,2,1,5,45,2,1069865.0000000005
6,증인,20477262331.0,20477262331.0,2534075,2534075,1047,롯데컬처웍스(주)롯데엔터테인먼트,12세관람가,드라마,이한,이채은,2,2019,4,2,1,5,46,2,1069865.0000000005
7,사바하,20007508194.0,20007508194.0,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,미스터리,장재현,이정재,2,2019,0,0,4,6,47,3,1069865.0000000005
7,사바하,20007508194.0,20007508194.0,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,스릴러,장재현,이정재,2,2019,0,0,5,6,47,3,1069865.0000000005
7,사바하,20007508194.0,20007508194.0,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,미스터리,장재현,박정민,2,2019,0,0,4,6,48,3,1069865.0000000005
7,사바하,20007508194.0,20007508194.0,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,스릴러,장재현,박정민,2,2019,0,0,5,6,48,3,1069865.0000000005
7,사바하,20007508194.0,20007508194.0,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,미스터리,장재현,이재인,2,2019,0,0,4,6,49,3,1069865.0000000005
7,사바하,20007508194.0,20007508194.0,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,스릴러,장재현,이재인,2,2019,0,0,5,6,49,3,1069865.0000000005
7,사바하,20007508194.0,20007508194.0,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,미스터리,장재현,유지태,2,2019,0,0,4,6,16,3,3044859.999999999
7,사바하,20007508194.0,20007508194.0,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,스릴러,장재현,유지태,2,2019,0,0,5,6,16,3,3044859.999999999
7,사바하,20007508194.0,20007508194.0,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,미스터리,장재현,정진영,2,2019,0,0,4,6,50,3,1069865.0000000005
7,사바하,20007508194.0,20007508194.0,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,스릴러,장재현,정진영,2,2019,0,0,5,6,50,3,1069865.0000000005
7,사바하,20007508194.0,20007508194.0,2398519,2398519,1174,씨제이이앤엠(주),15세관람가,미스터리,장재현,진선규,2,2019,0,0,4,6,2,3,9351215.000000002
